Precinct,DEMOCRATIC,REPUBLICAN,Grand Total
101,158,9,172
102,174,8,187
103,243,16,265
104,183,28,212
105,84,7,94
106,114,2,121
107,67,4,75
108,132,11,148
109,150,10,163
110,162,13,177
111,258,20,286
112,85,9,97
113,134,8,147
114,159,5,170
115,226,22,257
116,103,5,113
117,165,24,198
118,173,14,194
119,203,9,221
120,217,8,231
121,161,12,176
201,218,37,265
202,141,10,155
203,108,13,123
204,178,10,192
205,157,8,170
206,179,9,192
207,181,12,198
208,130,8,141
209,135,9,151
210,147,4,156
211,143,6,152
212,150,6,160
213,61,3,66
214,145,5,156
215,239,19,264
216,280,15,300
217,180,11,195
218,170,11,184
219,130,7,140
220,68,4,76
221,98,2,104
222,210,12,231
223,217,8,234
224,232,17,252
225,171,9,185
226,278,19,308
227,222,25,254
301,61,,62
302,74,1,78
303,100,3,103
304,130,1,132
305,69,,72
306,93,1,94
307,85,5,93
308,101,6,109
309,134,4,140
310,94,1,96
311,148,3,151
312,98,,98
313,70,,74
314,119,2,128
315,111,1,115
316,124,,125
317,136,,139
318,102,1,106
319,122,2,125
320,105,4,110
321,48,1,51
322,80,3,85
401,84,2,89
402,115,1,117
403,116,3,121
404,41,1,43
405,94,2,98
406,81,3,84
407,109,3,116
408,116,2,120
409,107,1,108
410,100,,102
411,81,,84
412,80,,82
413,111,5,119
414,81,1,83
415,69,2,72
416,75,1,79
417,104,1,108
418,92,1,96
419,54,2,59
420,88,2,93
421,141,2,143
501,304,25,333
502,168,17,192
503,239,29,273
504,237,26,270
505,195,18,215
506,221,14,240
507,145,3,149
508,233,13,254
509,181,23,211
510,159,30,195
511,181,9,192
512,242,33,292
513,29,4,34
514,151,7,161
515,126,8,137
516,120,10,137
517,280,17,303
518,266,54,329
519,281,22,308
520,109,6,118
521,260,26,297
522,151,12,168
523,215,7,228
524,155,13,184
525,102,4,109
526,127,11,142
527,170,16,190
528,77,4,85
529,34,5,40
530,106,8,117
531,46,1,51
601,127,2,138
602,125,3,128
603,107,6,121
604,116,3,128
605,56,1,58
606,85,2,89
607,105,1,107
608,41,,42
609,59,,63
610,46,2,49
611,115,5,123
612,45,,45
613,58,,58
614,48,,48
615,60,,60
616,83,1,85
617,94,2,99
618,106,,110
701,36,1,37
702,16,,16
703,11,,13
704,52,,55
705,32,7,43
706,23,,23
707,27,,27
708,43,1,45
709,28,2,31
710,17,2,21
711,42,,45
712,26,1,29
713,7,,7
714,36,1,37
715,22,,22
716,13,,14
717,55,2,59
718,19,,22
719,15,3,19
720,24,4,30
721,28,1,31
722,12,1,13
723,21,2,24
801,172,10,186
802,182,11,193
803,196,14,213
804,169,6,184
805,160,33,201
806,177,13,191
807,223,20,247
808,183,25,212
809,154,17,173
810,221,24,250
811,106,11,120
812,137,13,158
813,123,16,146
814,188,8,203
815,178,24,204
816,284,25,313
817,115,21,140
818,277,27,307
819,197,15,217
820,77,13,91
821,242,31,276
822,48,5,57
823,208,18,233
824,300,35,347
825,177,24,204
826,227,11,248
827,96,5,105
828,195,9,211
829,351,47,402
830,138,14,155
901,267,11,279
902,287,9,298
903,316,12,331
904,209,17,228
905,218,16,242
906,224,21,251
907,179,26,210
908,116,21,138
909,325,30,361
910,251,38,294
911,286,32,325
912,291,9,306
913,302,6,312
914,244,2,250
915,280,6,291
916,143,3,147
917,157,2,166
1001,131,1,134
1002,174,2,176
1003,149,1,151
1004,140,,141
